Kepler_ID,period,transit_depth,transit_duration,flux_std,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
2021440,20.310202966677945,0.0002101770722534,10.0,0.0008031145407117,2021440,K01987.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.81153999,136.33101,1.271,5.984,912.8,23.56,718.0,62.96,41.3,1,q1_q17_dr25_tce,5150.0,4.628,0.71,292.96844,37.488689,15.611,0
2140389,319.2653334434529,0.020177227713548,0.5,0.0035149862600323,2140389,K07627.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,0.967427812,132.258305,1.248,5.8883,9127.8,29.01,1419.0,956.61,323.4,1,q1_q17_dr25_tce,5066.0,4.625,0.709,285.91641,37.59428,15.826,0
2141783,568.5646603487364,0.0007532857097783,5.25,0.0004194600833435,2141783,K02201.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,116.5214317,144.13378,1.26,5.577,771.5,44.41,457.0,10.33,25.0,1,q1_q17_dr25_tce,6056.0,4.179,1.411,286.37,37.552521,13.806,0
2142522,495.1252723981208,0.0009820969383309,2.9000000000000004,0.0004020721465608,2142522,K02403.01,Kepler-1224 b,CONFIRMED,CANDIDATE,0.757,0,0,0,0,13.32354078,134.03671,0.225,3.873,116.6,1.32,872.0,136.61,16.3,1,q1_q17_dr25_tce,6113.0,4.341,1.218,286.62576,37.5373,12.867,1
2161536,27.359045337832413,0.0018669589892356,10.0,0.0026784328045362,2161536,K02130.01,Kepler-1798 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.85592593,138.26808,0.038,2.309,871.5,1.7,408.0,6.52,19.5,1,q1_q17_dr25_tce,3967.0,4.674,0.587,291.7262,37.5289,15.661,1
2161623,20.56198801674813,0.2430246936829599,0.5,0.1845919042556152,2161623,K06094.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.283466438,132.34883,0.457,7.7999,864260.0,218.79,2014.0,3883.24,1103.1,1,q1_q17_dr25_tce,6723.0,4.089,1.719,291.74445,37.591019,14.312,0
2161949,26.945345306482828,0.0001369187819991,10.0,0.0004283132822629,2161949,K06259.01,,CANDIDATE,CANDIDATE,0.813,0,0,0,0,4.78113942,131.7043,0.118,2.733,105.8,1.14,1130.0,386.46,9.6,1,q1_q17_dr25_tce,5683.0,4.326,1.115,291.8129,37.55587,14.595,1
2161949,26.945345306482828,0.0001369187819991,10.0,0.0004283132822629,2161949,K06259.02,,CANDIDATE,CANDIDATE,0.967,0,0,0,0,7.18864064,133.14566,0.424,2.364,133.5,1.3,987.0,223.87,9.3,2,q1_q17_dr25_tce,5683.0,4.326,1.115,291.8129,37.55587,14.595,1
2162994,28.71447942103442,0.1548204864737347,0.5,0.072285541517926,2162994,K06260.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.101595158,132.6324315,0.394,6.10362,366585.0,51.08,1028.0,264.23,3809.8,1,q1_q17_dr25_tce,5610.0,4.533,0.808,292.05801,37.592049,14.162,0
2164169,23.62494769160393,0.0001073975585697,10.0,0.0004325563252277,2164169,K01029.01,Kepler-1732 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,32.3122867,133.867,0.934,6.569,677.8,4.84,699.0,56.49,33.6,1,q1_q17_dr25_tce,5821.0,4.108,1.494,292.29099,37.580799,14.757,1
2165002,22.57712846062457,0.0021321688340617,10.0,0.0026364246166097,2165002,K00999.01,Kepler-263 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.56806842,146.15285,0.164,4.2647,1331.4,2.54,548.0,21.27,41.9,1,q1_q17_dr25_tce,4987.0,4.602,0.716,292.46976,37.567791,15.391,1
2165002,22.57712846062457,0.0021321688340617,10.0,0.0026364246166097,2165002,K00999.02,Kepler-263 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,47.3329299,151.41614,0.43,2.708,931.5,2.18,386.0,5.25,14.0,2,q1_q17_dr25_tce,4987.0,4.602,0.716,292.46976,37.567791,15.391,1
2165352,593.5160363221879,0.0029757406124533,10.0,0.0008637114927985,2165352,K04934.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.7906069,132.077067,1.198,3.3996,689.2,17.97,1503.0,1201.17,133.3,1,q1_q17_dr25_tce,4994.0,4.62,0.72,292.54315,37.555759,14.469,0
2166200,186.22758563081936,0.1036382463750945,0.5,0.0121337335544655,2166200,K03735.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,8.096939227,132.646466,0.786,2.8833,142891.0,68.48,1194.0,481.48,177.9,1,q1_q17_dr25_tce,6572.0,4.208,1.418,292.7337,37.559311,17.637,0
